wv1500,Error,soc,cfvo,ocd,ocs,nitrogen,silt,cec,Longitude,sand,phh2o,Latitude,clay,bdod,wv0033,wv0010
143,,155,153,204,39,146,267,206,81.4,400,61,20.6,334,150,353,388
141,,132,141,215,31,156,274,205,81.5,350,66,20.6,376,152,348,394
,,,,,,,,,81.6,,,20.6,,,,
159,,127,146,201,32,166,306,202,81.7,358,66,20.6,337,157,346,394
156,,136,174,202,37,181,251,212,81.8,395,67,20.6,355,156,338,379
167,,194,191,201,41,162,287,326,81.9,340,60,20.6,372,153,323,392
146,,131,112,204,33,154,337,216,82.0,300,68,20.6,363,155,343,400
144,,164,111,211,38,155,296,248,82.1,365,65,20.6,339,152,346,396
161,,217,126,226,42,152,309,240,82.2,306,61,20.6,385,149,352,411
163,,306,259,284,45,255,301,295,82.3,360,61,20.6,340,133,356,383
180,,295,164,282,43,207,317,342,82.4,324,66,20.6,359,144,340,391
173,,291,217,269,45,179,302,366,82.5,329,62,20.6,369,139,339,403
175,,402,143,198,28,134,342,306,82.6,276,72,20.6,382,136,308,388
162,,150,126,231,34,176,346,286,82.7,266,69,20.6,388,156,342,419
174,,178,158,238,40,151,358,282,82.8,282,63,20.6,361,149,362,423
165,,150,113,229,36,176,355,290,82.9,281,70,20.6,365,151,343,395
162,,135,106,220,32,167,343,287,83.0,278,68,20.6,379,152,339,407
160,,163,100,221,34,173,328,268,83.1,255,67,20.6,417,151,351,417
164,,166,114,232,35,190,347,263,83.2,290,65,20.6,363,145,364,425
157,,156,88,237,35,165,330,240,83.3,311,68,20.6,359,145,334,409
,No data available,,,,,,,,83.4,,,20.6,,,,
153,,159,106,235,38,170,364,225,83.5,336,66,20.6,300,144,341,417
140,,159,151,241,41,185,335,206,83.6,352,64,20.6,312,146,343,424
140,,149,91,223,40,183,349,216,83.7,328,65,20.6,322,144,345,419
148,,233,123,255,44,195,323,206,83.8,388,65,20.6,289,139,342,400
148,,299,212,285,52,210,262,227,83.9,443,58,20.6,295,132,269,378
142,,295,215,313,44,237,311,216,84.0,390,60,20.6,299,130,339,397
170,,389,220,338,64,285,351,271,84.1,383,58,20.6,266,126,287,366
140,,275,243,314,44,246,295,221,84.2,414,60,20.6,291,132,343,396
156,,357,233,310,54,242,277,240,84.3,420,57,20.6,303,124,319,394
148,,294,232,307,49,201,271,215,84.4,380,58,20.6,349,125,329,395
136,,223,93,271,38,178,284,199,84.5,386,63,20.6,330,134,326,411
145,,474,172,296,41,222,311,184,84.6,369,63,20.6,320,125,324,412
146,,224,169,293,46,221,335,157,84.7,354,61,20.6,310,133,340,406
155,,338,224,331,56,209,340,190,84.8,368,59,20.6,291,126,333,399
151,,308,157,297,47,253,336,207,84.9,374,58,20.6,289,126,342,403
165,,423,210,343,64,245,330,206,85.0,390,63,20.6,280,125,344,403
170,,383,181,348,60,231,333,221,85.1,388,61,20.6,278,125,328,385
151,,251,122,342,39,221,363,172,85.2,391,63,20.6,247,130,338,399
164,,302,192,297,49,220,321,180,85.3,404,63,20.6,275,127,337,408
150,,218,89,280,42,149,273,164,85.4,403,61,20.6,323,134,344,403
151,,239,121,302,42,168,297,157,85.5,413,62,20.6,290,131,343,399
158,,278,98,307,41,180,296,163,85.6,413,63,20.6,291,131,344,397
154,,230,112,317,38,192,332,178,85.7,348,62,20.6,320,128,345,394
167,,236,108,311,41,173,339,178,85.8,367,63,20.6,293,126,322,387
157,,239,85,294,41,161,331,165,85.9,316,61,20.6,353,131,332,398
157,,243,110,307,41,165,330,171,86.0,309,63,20.6,361,129,326,398
195,,251,74,334,48,171,346,198,86.1,249,66,20.6,405,127,333,409
204,,210,66,333,47,178,331,195,86.2,256,66,20.6,413,127,330,397
199,,219,57,326,44,183,387,180,86.3,246,65,20.6,366,123,335,405
212,,254,58,343,45,194,404,197,86.4,207,66,20.6,389,123,314,404
208,,260,50,355,49,195,412,208,86.5,181,65,20.6,407,124,314,397
223,,220,34,330,47,165,415,188,86.6,214,67,20.6,371,123,330,394
212,,292,66,379,49,217,460,191,86.7,164,66,20.6,376,120,306,402
209,,299,69,381,57,263,480,214,86.8,159,66,20.6,361,119,298,404
,,,,,,,,,86.9,,,20.6,,,,
,,,,,,,,,87.0,,,20.6,,,,
,,,,,,,,,87.1,,,20.6,,,,
,,,,,,,,,87.2,,,20.6,,,,
,No data available,,,,,,,,87.3,,,20.6,,,,
,,,,,,,,,87.4,,,20.6,,,,
,,,,,,,,,87.5,,,20.6,,,,
,,,,,,,,,87.6,,,20.6,,,,
,,,,,,,,,87.7,,,20.6,,,,
,,,,,,,,,87.8,,,20.6,,,,
,,,,,,,,,87.9,,,20.6,,,,
,,,,,,,,,88.0,,,20.6,,,,
,,,,,,,,,88.1,,,20.6,,,,
,,,,,,,,,88.2,,,20.6,,,,
,,,,,,,,,88.3,,,20.6,,,,
,,,,,,,,,88.4,,,20.6,,,,
,,,,,,,,,88.5,,,20.6,,,,
,,,,,,,,,88.6,,,20.6,,,,
,,,,,,,,,88.7,,,20.6,,,,
,,,,,,,,,88.8,,,20.6,,,,
,,,,,,,,,88.9,,,20.6,,,,
,,,,,,,,,89.0,,,20.6,,,,
,,,,,,,,,89.1,,,20.6,,,,
,,,,,,,,,89.2,,,20.6,,,,
,,,,,,,,,89.3,,,20.6,,,,
,,,,,,,,,89.4,,,20.6,,,,
,,,,,,,,,89.5,,,20.6,,,,
,,,,,,,,,89.6,,,20.6,,,,
,,,,,,,,,89.7,,,20.6,,,,
,,,,,,,,,89.8,,,20.6,,,,
,,,,,,,,,89.9,,,20.6,,,,
,,,,,,,,,90.0,,,20.6,,,,
,,,,,,,,,90.1,,,20.6,,,,
,,,,,,,,,90.2,,,20.6,,,,
,,,,,,,,,90.3,,,20.6,,,,
,,,,,,,,,90.4,,,20.6,,,,
,,,,,,,,,90.5,,,20.6,,,,
,,,,,,,,,90.6,,,20.6,,,,
,,,,,,,,,90.7,,,20.6,,,,
,,,,,,,,,90.8,,,20.6,,,,
,,,,,,,,,90.9,,,20.6,,,,
,,,,,,,,,91.0,,,20.6,,,,
,,,,,,,,,91.1,,,20.6,,,,
,,,,,,,,,91.2,,,20.6,,,,
,,,,,,,,,91.3,,,20.6,,,,
,,,,,,,,,91.4,,,20.6,,,,
,,,,,,,,,91.5,,,20.6,,,,
,,,,,,,,,91.6,,,20.6,,,,
,,,,,,,,,91.7,,,20.6,,,,
,,,,,,,,,91.8,,,20.6,,,,
,,,,,,,,,91.9,,,20.6,,,,
,,,,,,,,,92.0,,,20.6,,,,
,,,,,,,,,92.1,,,20.6,,,,
,,,,,,,,,92.2,,,20.6,,,,
