Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall
8.0,92.2,0.0,28.34,81.88,1.88
8.0,92.3,0.0,28.34,81.88,1.88
8.0,92.4,0.0,28.34,81.88,1.88
8.0,92.5,0.0,28.34,81.88,1.88
8.0,92.6,0.0,28.34,81.88,1.88
8.0,92.7,0.0,28.34,81.88,1.88
8.0,92.8,0.0,28.34,81.88,1.88
8.0,92.9,0.0,28.37,81.82,2.4
8.0,93.0,0.0,28.37,81.82,2.4
8.0,93.1,0.0,28.37,81.82,2.4
8.0,93.2,0.0,28.37,81.82,2.4
8.0,93.3,0.0,28.37,81.82,2.4
8.0,93.4,30.0,28.37,81.82,2.4
8.0,93.5,17.0,28.44,81.54,2.5
8.0,93.6,0.0,28.44,81.54,2.5
8.0,93.7,0.0,28.44,81.54,2.5
8.0,93.8,0.0,28.44,81.54,2.5
8.0,93.9,0.0,28.44,81.54,2.5
8.0,94.0,0.0,28.44,81.54,2.5
8.0,94.1,0.0,28.54,81.22,2.27
8.0,94.2,0.0,28.54,81.22,2.27
8.0,94.3,0.0,28.54,81.22,2.27
8.0,94.4,0.0,28.54,81.22,2.27
8.0,94.5,0.0,28.54,81.22,2.27
8.0,94.6,0.0,28.54,81.22,2.27
8.0,94.7,0.0,28.49,81.5,2.19
8.0,94.8,0.0,28.49,81.5,2.19
8.0,94.9,0.0,28.49,81.5,2.19
8.0,95.0,0.0,28.49,81.5,2.19
8.0,95.1,0.0,28.49,81.5,2.19
8.0,95.2,0.0,28.49,81.5,2.19
8.0,95.3,0.0,28.49,81.5,2.19
8.0,95.4,0.0,28.56,80.81,2.13
8.0,95.5,0.0,28.56,80.81,2.13
8.0,95.6,0.0,28.56,80.81,2.13
8.0,95.7,0.0,28.56,80.81,2.13
8.0,95.8,0.0,28.56,80.81,2.13
8.0,95.9,0.0,28.56,80.81,2.13
8.0,96.0,0.0,28.64,80.38,1.64
8.0,96.1,0.0,28.64,80.38,1.64
8.0,96.2,0.0,28.64,80.38,1.64
8.0,96.3,0.0,28.64,80.38,1.64
8.0,96.4,0.0,28.64,80.38,1.64
8.0,96.5,0.0,28.64,80.38,1.64
8.0,96.6,0.0,28.59,80.71,1.46
8.0,96.7,0.0,28.59,80.71,1.46
